V	DZ1	C1	Fn1	DZ2	C2	Fn2
-2	0.3	-4.37512E-11	8.82601E-11	0.8	-1.55929E-11	3.05811E-11
-2	0.3	-4.37683E-11	8.83643E-11	0.8	-1.55946E-11	3.05986E-11
-1.99967	0.2993	-4.377E-11	8.83602E-11	0.7993	-1.55962E-11	3.06163E-11
-1.99966	0.2993	-4.3787E-11	8.84643E-11	0.7993	-1.55978E-11	3.06341E-11
-1.99933	0.2986	-4.3789E-11	8.84595E-11	0.7986	-1.55995E-11	3.0652E-11
-1.99932	0.2986	-4.38058E-11	8.85642E-11	0.7986	-1.56011E-11	3.067E-11
-1.999	0.2979	-4.3808E-11	8.85588E-11	0.7979	-1.56028E-11	3.06881E-11
-1.99899	0.2979	-4.38247E-11	8.86641E-11	0.7979	-1.56045E-11	3.07063E-11
-1.99867	0.2972	-4.38271E-11	8.86597E-11	0.7972	-1.56062E-11	3.07247E-11
-1.99866	0.2972	-4.38437E-11	8.87656E-11	0.7972	-1.56079E-11	3.07432E-11
-1.99833	0.2965	-4.38463E-11	8.87622E-11	0.7965	-1.56096E-11	3.07618E-11
-1.99832	0.2965	-4.38627E-11	8.88686E-11	0.7965	-1.56114E-11	3.07804E-11
-1.998	0.2958	-4.38656E-11	8.88661E-11	0.7958	-1.56131E-11	3.07993E-11
-1.99799	0.2958	-4.38818E-11	8.89731E-11	0.7958	-1.56149E-11	3.08182E-11
-1.99767	0.2951	-4.38849E-11	8.89715E-11	0.7951	-1.56166E-11	3.08372E-11
-1.99766	0.2951	-4.39009E-11	8.90789E-11	0.7951	-1.56184E-11	3.08563E-11
-1.99733	0.2944	-4.39042E-11	8.90781E-11	0.7944	-1.56202E-11	3.08756E-11
-1.99732	0.2944	-4.39201E-11	8.91859E-11	0.7944	-1.5622E-11	3.08949E-11
-1.997	0.2937	-4.39236E-11	8.91858E-11	0.7937	-1.56239E-11	3.09144E-11
-1.99699	0.2937	-4.39393E-11	8.92939E-11	0.7937	-1.56257E-11	3.0934E-11
-1.99667	0.293	-4.3943E-11	8.92944E-11	0.793	-1.56275E-11	3.09537E-11
-1.99666	0.293	-4.39586E-11	8.94029E-11	0.793	-1.56294E-11	3.09735E-11
-1.99633	0.2923	-4.39625E-11	8.9404E-11	0.7923	-1.56313E-11	3.09934E-11
-1.99632	0.2923	-4.39779E-11	8.95128E-11	0.7923	-1.56332E-11	3.10134E-11
-1.996	0.2916	-4.3982E-11	8.95144E-11	0.7916	-1.56351E-11	3.10336E-11
-1.99599	0.2916	-4.39972E-11	8.96228E-11	0.7916	-1.5637E-11	3.10538E-11
-1.99567	0.2909	-4.40015E-11	8.9625E-11	0.7909	-1.56389E-11	3.10742E-11
-1.99566	0.2909	-4.40166E-11	8.97329E-11	0.7909	-1.56408E-11	3.10946E-11
-1.99533	0.2902	-4.4021E-11	8.97367E-11	0.7902	-1.56428E-11	3.11151E-11
-1.99532	0.2902	-4.40359E-11	8.98442E-11	0.7902	-1.56448E-11	3.11358E-11
